hexID,LAT,LON,N,K,R
11805,65.7738918947126,-162.249988540843,54,3,26
11806,66.6398923079334,-162.249988540844,148,2,71
11807,67.5058910070467,-162.249988540844,801,3,195
11808,68.3718877976443,-162.249988540844,225,4,60
11809,69.2378824525934,-162.249988540844,91,3,52
11810,70.1038747048782,-162.249988540844,1049,2,43
11955,54.948790802757,-161.999988540844,67,4,54
11956,55.8148035533541,-161.999988540844,461,3,20
11959,58.4128379190073,-161.999988540844,261,2,52
11960,59.278847927749,-161.999988540844,570,2,202
11961,60.1448571244344,-161.999988540844,333,3,53
11962,61.0108654461129,-161.999988540844,423,3,99
11963,61.8768728219865,-161.999988540844,2335,2,106
11964,62.7428791721416,-161.999988540844,42,1,42
11965,63.6088844060429,-161.999988540844,675,3,130
11966,64.4748884207134,-161.999988540844,7,1,6
11967,65.3408910985325,-161.999988540844,33,2,24
11968,66.2068923045519,-161.999988540844,53,2,23
11969,67.0728918832092,-161.999988540844,45,2,27
11970,67.9388896542629,-161.999988540844,971,3,252
11971,68.804885407732,-161.999988540844,181,3,56
11972,69.6708788975454,-161.999988540844,802,3,62
11973,70.5368698334902,-161.999988540844,83,2,25
12117,55.3817972531534,-161.749988540845,122,1,26
12121,58.8458430212268,-161.749988540844,309,4,187
12122,59.7118526313625,-161.749988540845,1258,3,324
12123,60.5778613988764,-161.749988540844,16331,4,519
12124,61.4438692570401,-161.749988540844,2652,4,76
12125,62.3098761306668,-161.749988540844,64,1,6
12126,63.1758819347439,-161.749988540844,2,1,2
12128,64.9078899347229,-161.749988540844,16,2,4
12129,65.7738918947126,-161.749988540845,34,2,23
12130,66.6398923079334,-161.749988540845,1267,3,131
12131,67.5058910070467,-161.749988540844,117,3,42
12132,68.3718877976443,-161.749988540845,731,3,186
12133,69.2378824525933,-161.749988540845,186,2,51
12134,70.1038747048782,-161.749988540844,2794,2,187
12280,55.8148035533538,-161.499988540844,2690,2,54
12283,58.4128379190073,-161.499988540844,9,2,8
12284,59.2788479277488,-161.499988540844,795,3,366
12285,60.1448571244344,-161.499988540844,100,3,54
12286,61.010865446113,-161.499988540844,10003,3,132
12287,61.8768728219864,-161.499988540844,264,2,111
12289,63.6088844060428,-161.499988540844,2,1,2
12290,64.4748884207134,-161.499988540844,70,1,37
12291,65.3408910985324,-161.499988540844,132,3,94
12292,66.2068923045519,-161.499988540844,40,2,15
12293,67.0728918832091,-161.499988540844,99,2,22
12294,67.9388896542629,-161.499988540844,1109,3,308
12295,68.804885407732,-161.499988540844,141,3,84
12296,69.6708788975453,-161.499988540843,323,2,48
12441,55.3817972531536,-161.249988540844,51,2,31
12445,58.8458430212269,-161.249988540844,49,2,9
12446,59.7118526313625,-161.249988540844,239,2,88
12447,60.5778613988765,-161.249988540844,2513,2,89
12448,61.44386925704,-161.249988540844,326,1,32
12449,62.3098761306668,-161.249988540845,3,1,3
12452,64.9078899347229,-161.249988540844,171,3,53
12453,65.7738918947126,-161.249988540844,103,2,45
12454,66.6398923079335,-161.249988540844,1058,3,65
12455,67.5058910070466,-161.249988540844,99,3,56
12456,68.3718877976443,-161.249988540844,844,5,410
12457,69.2378824525934,-161.249988540845,74,3,59
12458,70.1038747048782,-161.249988540844,926,2,71
12604,55.8148035533541,-160.999988540845,1097,2,87
12607,58.4128379190073,-160.999988540845,44,3,35
12608,59.2788479277488,-160.999988540845,4018,2,210
12609,60.1448571244343,-160.999988540844,103,3,92
12610,61.010865446113,-160.999988540844,6187,2,145
12611,61.8768728219864,-160.999988540845,4349,2,74
12612,62.7428791721415,-160.999988540845,20,2,14
12613,63.6088844060428,-160.999988540844,52,2,46
12614,64.4748884207134,-160.999988540844,522,3,92
12615,65.3408910985325,-160.999988540844,116,2,57
12616,66.2068923045519,-160.999988540844,151,2,99
12617,67.0728918832091,-160.999988540844,551,3,122
12618,67.9388896542628,-160.999988540844,1072,4,415
12619,68.804885407732,-160.999988540845,2587,4,566
12620,69.6708788975454,-160.999988540844,450,2,90
12621,70.5368698334902,-160.999988540844,218,2,22
12765,55.3817972531534,-160.749988540844,755,5,359
12769,58.8458430212268,-160.749988540844,120,4,87
12770,59.7118526313625,-160.749988540843,2918,2,110
12771,60.5778613988765,-160.749988540844,386,2,77
12772,61.44386925704,-160.749988540844,2944,1,78
12773,62.3098761306668,-160.749988540843,11,1,7
12774,63.175881934744,-160.749988540844,42,2,35
12775,64.0418865727611,-160.749988540844,797,2,255
12776,64.9078899347228,-160.749988540843,768,3,170
12777,65.7738918947125,-160.749988540844,31,2,26
12778,66.6398923079335,-160.749988540844,183,3,82
12779,67.5058910070466,-160.749988540844,302,3,61
12780,68.3718877976443,-160.749988540844,130,4,39
12781,69.2378824525934,-160.749988540843,141,3,92
12782,70.1038747048782,-160.749988540844,1051,2,77
12927,54.948790802757,-160.499988540844,441,3,94
12928,55.814803553354,-160.499988540844,2294,2,180
12932,59.2788479277489,-160.499988540844,721,2,115
12933,60.1448571244344,-160.499988540844,90,2,67
12934,61.0108654461129,-160.499988540844,1940,2,80
12935,61.8768728219865,-160.499988540844,2978,1,67
12936,62.7428791721415,-160.499988540843,4135,2,103
12937,63.6088844060428,-160.499988540844,424,3,229
12938,64.4748884207135,-160.499988540844,129,3,111
12939,65.3408910985325,-160.499988540844,33,2,32
12940,66.2068923045519,-160.499988540844,387,3,137
12941,67.0728918832091,-160.499988540844,444,3,229
12942,67.9388896542628,-160.499988540844,434,3,71
12943,68.804885407732,-160.499988540844,69,2,40
12944,69.6708788975454,-160.499988540844,93,3,49
12945,70.5368698334902,-160.499988540845,1346,2,30
13050,21.6070313092403,-160.249988540845,342,1,70
13089,55.3817972531534,-160.249988540844,1140,5,707
13090,56.2478096986527,-160.249988540845,1178,4,273
13093,58.8458430212267,-160.249988540845,71,3,25
13094,59.7118526313624,-160.249988540845,318,3,203
13095,60.5778613988765,-160.249988540845,38,1,21
13096,61.44386925704,-160.249988540845,1453,3,104
13097,62.3098761306668,-160.249988540845,37,1,34
13098,63.1758819347439,-160.249988540844,4,2,3
13099,64.041886572761,-160.249988540844,314,2,92
13100,64.9078899347229,-160.249988540845,44,2,39
13101,65.7738918947126,-160.249988540845,34,3,26
